# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 5340000000
#
# Overhead  Command      Shared Object     Symbol                                    
# ........  ...........  ................  ..........................................
#
     0.19%  python3-dbg  python3.10d       [.] PyObject_Free
     0.19%  python3-dbg  python3.10d       [.] PyObject_GenericSetAttr
     0.19%  python3-dbg  python3.10d       [.] PyObject_GetAttr
     0.19%  python3-dbg  python3.10d       [.] PyObject_GetItem
     0.19%  python3-dbg  python3.10d       [.] PyObject_RichCompare
     0.19%  python3-dbg  python3.10d       [.] PyThread_tss_get
     0.19%  python3-dbg  python3.10d       [.] PyType_GenericAlloc
     0.19%  python3-dbg  python3.10d       [.] PyUnicode_InternInPlace
     0.19%  python3-dbg  python3.10d       [.] _PyDict_ContainsId
     0.19%  python3-dbg  python3.10d       [.] _PyGILState_GetThisThreadState
     0.19%  python3-dbg  python3.10d       [.] _PyMem_DebugRawFree
     0.19%  python3-dbg  python3.10d       [.] _PyTrash_end
     0.19%  python3-dbg  python3.10d       [.] _PyUnicode_FromUCS1.lto_priv.0
     0.19%  python3-dbg  python3.10d       [.] arena_map_get
     0.19%  python3-dbg  python3.10d       [.] convert_to_double
     0.19%  python3-dbg  python3.10d       [.] float_div.lto_priv.0
     0.19%  python3-dbg  python3.10d       [.] listiter_next.lto_priv.0
     0.19%  python3-dbg  python3.10d       [.] math_1_to_whatever
     0.19%  python3-dbg  python3.10d       [.] object_dealloc.lto_priv.0
     0.19%  python3-dbg  python3.10d       [.] object_new.lto_priv.0
     0.19%  python3-dbg  python3.10d       [.] tupleitem.lto_priv.0
     0.19%  python3-dbg  python3.10d       [.] validate_list
     0.19%  python3-dbg  python3.10d       [.] vgetargskeywords
     0.09%  python3-dbg  libc.so.6         [.] __strlen_avx2
     0.09%  python3-dbg  libc.so.6         [.] sysmalloc
     0.09%  python3-dbg  libcrypto.so.3    [.] 0x00000000000d8126
     0.09%  python3-dbg  libm.so.6         [.] __sqrt_finite@GLIBC_2.15
     0.09%  python3-dbg  python3.10d       [.] PyBool_FromLong
     0.09%  python3-dbg  python3.10d       [.] PyFloat_AsDouble
     0.09%  python3-dbg  python3.10d       [.] PyFunction_NewWithQualName
     0.09%  python3-dbg  python3.10d       [.] PyList_Append
     0.09%  python3-dbg  python3.10d       [.] PyList_New
     0.09%  python3-dbg  python3.10d       [.] PyLong_FromLongLong
     0.09%  python3-dbg  python3.10d       [.] PyNumber_AsSsize_t
     0.09%  python3-dbg  python3.10d       [.] PyObject_GetIter
     0.09%  python3-dbg  python3.10d       [.] PyObject_Malloc
     0.09%  python3-dbg  python3.10d       [.] PyThreadState_Get
     0.09%  python3-dbg  python3.10d       [.] PyUnicode_Join
     0.09%  python3-dbg  python3.10d       [.] PyUnicode_New
     0.09%  python3-dbg  python3.10d       [.] _PyDict_LoadGlobal
     0.09%  python3-dbg  python3.10d       [.] _PyNumber_Index
     0.09%  python3-dbg  python3.10d       [.] _PyObject_Calloc
     0.09%  python3-dbg  python3.10d       [.] _PyObject_GC_Alloc
     0.09%  python3-dbg  python3.10d       [.] _PyObject_GC_New
     0.09%  python3-dbg  python3.10d       [.] _PyObject_LookupAttr
     0.09%  python3-dbg  python3.10d       [.] _PyObject_VectorcallTstate.lto_priv.6
     0.09%  python3-dbg  python3.10d       [.] _PyPegen_update_memo
     0.09%  python3-dbg  python3.10d       [.] _PyTrash_cond
     0.09%  python3-dbg  python3.10d       [.] _PyType_LookupId
     0.09%  python3-dbg  python3.10d       [.] _Py_asdl_generic_seq_new
     0.09%  python3-dbg  python3.10d       [.] address_in_range
     0.09%  python3-dbg  python3.10d       [.] assemble_emit
     0.09%  python3-dbg  python3.10d       [.] code_dealloc.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] convertsimple
     0.09%  python3-dbg  python3.10d       [.] dict_subscript.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] do_richcompare
     0.09%  python3-dbg  python3.10d       [.] func_dealloc.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] get_dict_state
     0.09%  python3-dbg  python3.10d       [.] get_float_state
     0.09%  python3-dbg  python3.10d       [.] get_type_cache.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] insert_to_usedpool
     0.09%  python3-dbg  python3.10d       [.] list_resize
     0.09%  python3-dbg  python3.10d       [.] lookdict_unicode
     0.09%  python3-dbg  python3.10d       [.] lookup_method.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] method_dealloc.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] move_legacy_finalizers
     0.09%  python3-dbg  python3.10d       [.] new_dict_with_shared_keys.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] parsenumber
     0.09%  python3-dbg  python3.10d       [.] siphash24
     0.09%  python3-dbg  python3.10d       [.] tuplesubscript.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] type_is_gc.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] unicode_hash.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] update_refs
     0.09%  python3-dbg  python3.10d       [.] vgetargs1_impl
     0.09%  python3-dbg  python3.10d       [.] visit_decref
     0.09%  python3-dbg  python3.10d       [.] visit_reachable
     0.09%  python3-dbg  [unknown]         [k] 0xffffffffab4be898
     0.09%  python3-dbg  [unknown]         [k] 0xffffffffab518243
     0.09%  python3-dbg  [unknown]         [k] 0xffffffffab56ce44
     0.09%  python3-dbg  [unknown]         [k] 0xffffffffab66576a
     0.09%  python3-dbg  [unknown]         [k] 0xffffffffab6dd710
     0.09%  python3-dbg  [unknown]         [k] 0xffffffffab97ad80


#
# (Cannot load tips.txt file, please install perf!)
#
