rep,total_sec
1,3.160105 loops
2,3.203172 loops
3,3.194600 loops
4,3.180460 loops
5,3.179859 loops
6,3.217526 loops
7,3.152200 loops
8,3.205916 loops
9,3.164237 loops
10,3.134270 loops
11,3.117149 loops
