# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 552  of event 'cycles'
# Event count (approx.): 2760000000
#
# Overhead  Command      Shared Object     Symbol                                    
# ........  ...........  ................  ..........................................
#
     0.18%  python3-dbg  python3.10d       [.] _PyDict_ContainsId
     0.18%  python3-dbg  python3.10d       [.] _PyGILState_GetThisThreadState
     0.18%  python3-dbg  python3.10d       [.] _PyMem_DebugMalloc
     0.18%  python3-dbg  python3.10d       [.] _PyMem_DebugRawFree
     0.18%  python3-dbg  python3.10d       [.] _PyMem_DebugRawMalloc
     0.18%  python3-dbg  python3.10d       [.] _PyObject_Call_Prepend
     0.18%  python3-dbg  python3.10d       [.] _PyObject_Calloc
     0.18%  python3-dbg  python3.10d       [.] _PyObject_Free
     0.18%  python3-dbg  python3.10d       [.] _PyObject_MakeTpCall
     0.18%  python3-dbg  python3.10d       [.] _PyObject_Malloc
     0.18%  python3-dbg  python3.10d       [.] _PyPegen_is_memoized
     0.18%  python3-dbg  python3.10d       [.] _PyTrash_begin
     0.18%  python3-dbg  python3.10d       [.] _PyTrash_cond
     0.18%  python3-dbg  python3.10d       [.] _PyUnicodeWriter_Update.lto_priv.0
     0.18%  python3-dbg  python3.10d       [.] ascii_decode.lto_priv.0
     0.18%  python3-dbg  python3.10d       [.] binary_op
     0.18%  python3-dbg  python3.10d       [.] cfunction_vectorcall_O.lto_priv.0
     0.18%  python3-dbg  python3.10d       [.] compiler_visit_expr.lto_priv.0
     0.18%  python3-dbg  python3.10d       [.] dict_dealloc.lto_priv.0
     0.18%  python3-dbg  python3.10d       [.] expression_rule.lto_priv.0
     0.18%  python3-dbg  python3.10d       [.] find_name_in_mro.lto_priv.0
     0.18%  python3-dbg  python3.10d       [.] get_frame_state
     0.18%  python3-dbg  python3.10d       [.] get_small_int.lto_priv.0
     0.18%  python3-dbg  python3.10d       [.] inherit_slots
     0.18%  python3-dbg  python3.10d       [.] insertdict
     0.18%  python3-dbg  python3.10d       [.] intern_string_constants
     0.18%  python3-dbg  python3.10d       [.] list_dealloc.lto_priv.0
     0.18%  python3-dbg  python3.10d       [.] long_add.lto_priv.0
     0.18%  python3-dbg  python3.10d       [.] long_sub.lto_priv.0
     0.18%  python3-dbg  python3.10d       [.] lookup_maybe_method.lto_priv.0
