rep,total_sec
1,3.121757 loops
2,3.139052 loops
3,3.136531 loops
4,3.130869 loops
5,3.120632 loops
6,3.135240 loops
7,3.132918 loops
8,3.132164 loops
9,3.133284 loops
10,3.121834 loops
11,3.130660 loops
