# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 5350000000
#
# Overhead  Command      Shared Object     Symbol                                    
# ........  ...........  ................  ..........................................
#
    28.22%  python3-dbg  python3.10d       [.] _PyEval_EvalFrameDefault
     3.08%  python3-dbg  python3.10d       [.] _PyEval_MakeFrameVector
     2.62%  python3-dbg  python3.10d       [.] call_function.lto_priv.0
     2.62%  python3-dbg  python3.10d       [.] frame_dealloc.lto_priv.0
     2.52%  python3-dbg  python3.10d       [.] binary_op1
     2.43%  python3-dbg  python3.10d       [.] PyTuple_GetItem
     2.06%  python3-dbg  python3.10d       [.] lookdict_split.lto_priv.0
     1.68%  python3-dbg  python3.10d       [.] _PyMem_DebugCheckAddress
     1.68%  python3-dbg  python3.10d       [.] _PyObject_VectorcallTstate.lto_priv.10
     1.68%  python3-dbg  python3.10d       [.] _PyType_Lookup
     1.59%  python3-dbg  python3.10d       [.] insertdict
     1.50%  python3-dbg  python3.10d       [.] _PyFrame_New_NoTrack
     1.40%  python3-dbg  python3.10d       [.] _PyDict_GetItemHint
     1.40%  python3-dbg  python3.10d       [.] _PyObject_GetMethod
     1.31%  python3-dbg  python3.10d       [.] PyFloat_FromDouble
     1.21%  python3-dbg  python3.10d       [.] PyObject_SetAttr
     1.21%  python3-dbg  python3.10d       [.] _PyUnicode_FromId
     1.21%  python3-dbg  python3.10d       [.] read_size_t
     1.12%  python3-dbg  python3.10d       [.] _PyEval_Vector
     1.12%  python3-dbg  python3.10d       [.] _Py_NewReference
     1.03%  python3-dbg  python3.10d       [.] PyGILState_Check
     1.03%  python3-dbg  python3.10d       [.] _Py_CheckFunctionResult
     1.03%  python3-dbg  python3.10d       [.] _Py_Dealloc
     1.03%  python3-dbg  python3.10d       [.] lookdict_unicode_nodummy
     0.93%  python3-dbg  libc.so.6         [.] pthread_getspecific@@GLIBC_2.34
     0.93%  python3-dbg  python3.10d       [.] float_mul.lto_priv.0
     0.93%  python3-dbg  python3.10d       [.] subtype_dealloc.lto_priv.0
     0.84%  python3-dbg  python3.10d       [.] PyType_IsSubtype
     0.84%  python3-dbg  python3.10d       [.] _PyObjectDict_SetItem
     0.84%  python3-dbg  python3.10d       [.] _Py_CheckSlotResult
     0.84%  python3-dbg  python3.10d       [.] dict_dealloc.lto_priv.0
     0.75%  python3-dbg  python3.10d       [.] _PyObject_GenericSetAttrWithDict
     0.75%  python3-dbg  python3.10d       [.] _PyObject_MakeTpCall
     0.75%  python3-dbg  python3.10d       [.] float_add.lto_priv.0
     0.75%  python3-dbg  python3.10d       [.] write_size_t
     0.65%  python3-dbg  libc.so.6         [.] __memset_avx2_unaligned_erms
     0.65%  python3-dbg  python3.10d       [.] _PyDict_CheckConsistency
     0.65%  python3-dbg  python3.10d       [.] _PyMem_DebugRawAlloc
     0.65%  python3-dbg  python3.10d       [.] float_dealloc.lto_priv.0
