# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 5345000000
#
# Overhead  Command      Shared Object     Symbol                                     
# ........  ...........  ................  ...........................................
#
     0.09%  python3-dbg  libcrypto.so.3    [.] 0x00000000000d7cb7
     0.09%  python3-dbg  python3.10d       [.] BB_setitem
     0.09%  python3-dbg  python3.10d       [.] PyBool_FromLong
     0.09%  python3-dbg  python3.10d       [.] PyList_New
     0.09%  python3-dbg  python3.10d       [.] PyLong_AsSsize_t
     0.09%  python3-dbg  python3.10d       [.] PyLong_FromLong
     0.09%  python3-dbg  python3.10d       [.] PyMem_Free
     0.09%  python3-dbg  python3.10d       [.] PyMem_Malloc
     0.09%  python3-dbg  python3.10d       [.] PyNumber_AsSsize_t
     0.09%  python3-dbg  python3.10d       [.] PyObject_ClearWeakRefs
     0.09%  python3-dbg  python3.10d       [.] PyObject_GC_Del
     0.09%  python3-dbg  python3.10d       [.] PyObject_GenericSetAttr
     0.09%  python3-dbg  python3.10d       [.] PyObject_Malloc
     0.09%  python3-dbg  python3.10d       [.] _PyDict_ContainsId
     0.09%  python3-dbg  python3.10d       [.] _PyDict_GetItemIdWithError
     0.09%  python3-dbg  python3.10d       [.] _PyErr_Restore
     0.09%  python3-dbg  python3.10d       [.] _PyGILState_GetThisThreadState
     0.09%  python3-dbg  python3.10d       [.] _PyLong_New
     0.09%  python3-dbg  python3.10d       [.] _PyMem_DebugMalloc
     0.09%  python3-dbg  python3.10d       [.] _PyMem_DebugRawCalloc
     0.09%  python3-dbg  python3.10d       [.] _PyObject_GC_Malloc
     0.09%  python3-dbg  python3.10d       [.] _PyObject_GC_New
     0.09%  python3-dbg  python3.10d       [.] _PyObject_VectorcallTstate.lto_priv.23
     0.09%  python3-dbg  python3.10d       [.] _PyPegen_fill_token
     0.09%  python3-dbg  python3.10d       [.] _PyPegen_lookahead_with_int
     0.09%  python3-dbg  python3.10d       [.] _PyTrash_end
     0.09%  python3-dbg  python3.10d       [.] _PyTuple_ClearFreeList
     0.09%  python3-dbg  python3.10d       [.] _PyType_LookupId
     0.09%  python3-dbg  python3.10d       [.] _Py_CheckSlotResult
     0.09%  python3-dbg  python3.10d       [.] _io_TextIOWrapper_write_impl.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] _io__IOBase_flush.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] address_in_range
     0.09%  python3-dbg  python3.10d       [.] app1
     0.09%  python3-dbg  python3.10d       [.] convertitem
     0.09%  python3-dbg  python3.10d       [.] func_dealloc.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] inherit_slots
     0.09%  python3-dbg  python3.10d       [.] list_dealloc.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] listiter_next.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] long_mul.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] long_sub.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] lookdict_unicode
     0.09%  python3-dbg  python3.10d       [.] makecode
     0.09%  python3-dbg  python3.10d       [.] math_1_to_whatever
     0.09%  python3-dbg  python3.10d       [.] mbuf_release
     0.09%  python3-dbg  python3.10d       [.] object_dealloc.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] object_init.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] r_string
     0.09%  python3-dbg  python3.10d       [.] siphash24
     0.09%  python3-dbg  python3.10d       [.] super_init.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] tok_get
     0.09%  python3-dbg  python3.10d       [.] unicode_eq
     0.09%  python3-dbg  python3.10d       [.] untrack_tuples
     0.09%  python3-dbg  python3.10d       [.] vgetargs1_impl
     0.09%  python3-dbg  python3.10d       [.] vgetargskeywords
     0.09%  python3-dbg  python3.10d       [.] visit_reachable
     0.09%  python3-dbg  python3.10d       [.] 0x0000000000021100
     0.09%  python3-dbg  python3.10d       [.] 0x0000000000021104
     0.09%  python3-dbg  python3.10d       [.] 0x0000000000022670
     0.09%  python3-dbg  [unknown]         [k] 0xffffffff8b39aa49
     0.09%  python3-dbg  [unknown]         [k] 0xffffffff8b4fc686
     0.09%  python3-dbg  [unknown]         [k] 0xffffffff8b4fd008
     0.09%  python3-dbg  [unknown]         [k] 0xffffffff8b7869b7
     0.09%  python3-dbg  [unknown]         [k] 0xffffffff8bc00fa4


#
# (Cannot load tips.txt file, please install perf!)
#
