rep,total_sec
1,3.616409 loops
2,3.626204 loops
3,3.658861 loops
4,3.626056 loops
5,3.635962 loops
6,3.640290 loops
7,3.622186 loops
8,3.674814 loops
9,3.665416 loops
10,3.620580 loops
11,3.636017 loops
