# started on Sat Sep 19 18:14:43 2026

3300.83,msec,task-clock,0.39%,3300833997,100.00,0.994,CPUs utilized
2213,,page-faults,0.02%,3300833997,100.00,667.665,/sec
2213,,minor-faults,0.02%,3300833997,100.00,667.665,/sec
0,,major-faults,0.00%,3300833997,100.00,0.000,/sec
37,,context-switches,5.23%,3300833997,100.00,11.163,/sec
0,,cpu-migrations,0.00%,3300833997,100.00,0.000,/sec
7567185475,,cycles,0.54%,1642294948,49.74,2.283,GHz
20263852386,,instructions,0.04%,1974224285,59.79,2.64,insn per cycle
2618661838,,branches,0.18%,1976396099,59.86,790.054,M/sec
9826225,,branch-misses,2.06%,1980637492,59.99,0.38,of all branches
9445514,,cache-references,9.05%,1985340058,60.13,2.850,M/sec
107125,,cache-misses,11.89%,1989282487,60.25,0.942,of all cache refs
6551561877,,L1-dcache-loads,0.11%,1325437333,40.14,1.977,G/sec
195099044,,L1-dcache-load-misses,1.82%,1321195940,40.01,2.97,of all L1-dcache accesses
<not supported>,,LLC-loads,0.00%,0,100.00,,
<not supported>,,LLC-load-misses,0.00%,0,100.00,,
3253659841,,dTLB-loads,0.13%,1316493374,39.87,981.633,M/sec
260959,,dTLB-load-misses,18.47%,1312550945,39.75,0.01,of all dTLB cache accesses
