rep,total_sec
1,3.168665 loops
2,3.193569 loops
3,3.128605 loops
4,3.164604 loops
5,3.189617 loops
6,3.171755 loops
7,3.169376 loops
8,3.145245 loops
9,3.144564 loops
10,3.133061 loops
11,3.170383 loops
