rep,total_sec
1,3.129659 loops
2,3.196898 loops
3,3.164000 loops
4,3.151576 loops
5,3.170157 loops
6,3.129409 loops
7,3.205566 loops
8,3.128046 loops
9,3.168749 loops
10,3.128238 loops
11,3.195582 loops
