rep,total_sec
1,3.149713 loops
2,3.159185 loops
3,3.151500 loops
4,3.156046 loops
5,3.179561 loops
6,3.129837 loops
7,3.176589 loops
8,3.160794 loops
9,3.172851 loops
10,3.133395 loops
11,3.151806 loops
