rep,total_sec
1,3.615454 loops
2,3.634361 loops
3,3.636377 loops
4,4.081035 loops
5,3.645808 loops
6,3.670126 loops
7,3.661514 loops
8,3.610985 loops
9,3.612213 loops
10,3.694116 loops
11,3.652791 loops
