rep,total_sec
1,3.107085 loops
2,3.114437 loops
3,3.118922 loops
4,3.116739 loops
5,3.134987 loops
6,3.129335 loops
7,3.110449 loops
8,3.118560 loops
9,3.141641 loops
10,3.125388 loops
11,3.127684 loops
