rep,total_sec
1,3.121728 loops
2,3.128147 loops
3,3.132703 loops
4,3.120049 loops
5,3.174080 loops
6,3.128054 loops
7,3.151978 loops
8,3.131009 loops
9,3.161854 loops
10,3.117888 loops
11,3.157388 loops
